Frame #: 27, Time: 880.2333333333335, Tracker ID: 1, Class: spoon,  Coordinates: (386, 567, 645, 630), Centroids: (708.5, 882.0)
Frame #: 27, Time: 880.2333333333335, Tracker ID: 2, Class: person,  Coordinates: (389, 0, 1230, 720), Centroids: (1004.0, 360.0)
Frame #: 27, Time: 880.2333333333335, Tracker ID: 3, Class: knife,  Coordinates: (71, 510, 481, 612), Centroids: (311.5, 816.0)
Frame #: 28, Time: 912.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (386, 567, 644, 630), Centroids: (708.0, 882.0)
Frame #: 28, Time: 912.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (386, 567, 644, 630), Centroids: (708.0, 882.0)
Frame #: 28, Time: 912.1333333333333, Tracker ID: 2, Class: person,  Coordinates: (383, 0, 1232, 720), Centroids: (999.0, 360.0)
Frame #: 28, Time: 912.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (386, 567, 644, 630), Centroids: (708.0, 882.0)
Frame #: 28, Time: 912.1333333333333, Tracker ID: 2, Class: person,  Coordinates: (383, 0, 1232, 720), Centroids: (999.0, 360.0)
Frame #: 28, Time: 912.1333333333333, Tracker ID: 3, Class: knife,  Coordinates: (65, 509, 487, 615), Centroids: (308.5, 816.5)
Frame #: 29, Time: 944.0666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 645, 630), Centroids: (707.5, 882.0)
Frame #: 29, Time: 944.0666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 645, 630), Centroids: (707.5, 882.0)
Frame #: 29, Time: 944.0666666666667, Tracker ID: 2, Class: person,  Coordinates: (389, 0, 1244, 720), Centroids: (1011.0, 360.0)
Frame #: 29, Time: 944.0666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 645, 630), Centroids: (707.5, 882.0)
Frame #: 29, Time: 944.0666666666667, Tracker ID: 2, Class: person,  Coordinates: (389, 0, 1244, 720), Centroids: (1011.0, 360.0)
Frame #: 29, Time: 944.0666666666667, Tracker ID: 3, Class: knife,  Coordinates: (58, 507, 497, 619), Centroids: (306.5, 816.5)
Frame #: 30, Time: 992.0333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (387, 567, 645, 630), Centroids: (709.5, 882.0)
Frame #: 30, Time: 992.0333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (387, 567, 645, 630), Centroids: (709.5, 882.0)
Frame #: 30, Time: 992.0333333333334, Tracker ID: 2, Class: person,  Coordinates: (392, 0, 1252, 720), Centroids: (1018.0, 360.0)
Frame #: 30, Time: 992.0333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (387, 567, 645, 630), Centroids: (709.5, 882.0)
Frame #: 30, Time: 992.0333333333334, Tracker ID: 2, Class: person,  Coordinates: (392, 0, 1252, 720), Centroids: (1018.0, 360.0)
Frame #: 30, Time: 992.0333333333334, Tracker ID: 3, Class: knife,  Coordinates: (63, 505, 491, 615), Centroids: (308.5, 812.5)
Frame #: 31, Time: 1024.0, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 645, 630), Centroids: (709.5, 883.0)
Frame #: 31, Time: 1024.0, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 645, 630), Centroids: (709.5, 883.0)
